Date,Day_of_the_Week,Tip,Order_Total,Payment_Type
03_09_21,Tuesday,10,75.02,CC
03_09_21,Tuesday,,58.58,Cash
03_09_21,Tuesday,5.32,37.4,Acct
03_09_21,Tuesday,4.19,37.08,CC
03_09_21,Tuesday,14.08,117.53,CC
03_09_21,Tuesday,4.98,34.64,CC
03_09_21,Tuesday,15.05,125.44,CC
03_09_21,Tuesday,2.7,24.95,CC
03_12_21,Friday,3,44.48,CC
03_12_21,Friday,8.3,49.45,Acct
03_12_21,Friday,9.98,66.37,CC
03_12_21,Friday,8.3,49.46,Acct
03_12_21,Friday,8,66.61,CC
03_12_21,Friday,6,39.97,CC
03_12_21,Friday,3.95,25.34,Acct
03_12_21,Friday,4.43,29.02,Acct
03_13_21,Saturday,4.99,34.71,CC
03_13_21,Saturday,7.2,38.21,Acct
03_13_21,Saturday,8.32,45.47,Acct
03_13_21,Saturday,4,15.76,Acct
03_13_21,Saturday,,12.83,Acct
03_13_21,Saturday,,71.37,CC
03_13_21,Saturday,7,44.74,CC
03_13_21,Saturday,5.36,58.93,Acct
03_13_21,Saturday,5,32.59,CC
03_13_21,Saturday,8.9,48.39,Acct
03_13_21,Saturday,15,47.94,CC
03_14_21,Sunday,89.69,590.8,CC
03_14_21,Sunday,5.8,38,Acct
03_14_21,Sunday,4.08,31.53,Acct
03_14_21,Sunday,5.48,32.03,Acct
03_14_21,Sunday,5.61,31.8,Acct
03_14_21,Sunday,,23.32,Cash
03_14_21,Sunday,,29.39,Acct
03_14_21,Sunday,10.37,74.52,Acct
03_14_21,Sunday,2.55,23.73,CC
03_14_21,Sunday,,31.33,Cash
03_14_21,Sunday,3.56,16.39,Acct
03_14_21,Sunday,6.59,44.86,CC
03_14_21,Sunday,11.26,67.58,Acct
03_14_21,Sunday,10.62,58.74,Acct
03_14_21,Sunday,5,56.65,CC
03_14_21,Sunday,4.67,37.39,Acct
03_14_21,Sunday,7.73,41.41,Acct
03_14_21,Sunday,,14.37,Acct
03_14_21,Sunday,5.23,35.17,Acct
03_19_21,Friday,7.94,42.68,Acct
03_19_21,Friday,5,38.46,CC
03_19_21,Friday,7.53,44.4,Acct
03_19_21,Friday,5.7,29.22,Acct
03_19_21,Friday,4.42,21.53,Acct
03_19_21,Friday,2.43,13.6,Acct
03_19_21,Friday,7,39.94,CC
03_19_21,Friday,6.22,53.62,CC
03_19_21,Friday,6.1,41.71,CC
03_19_21,Friday,4.99,34.67,CC
03_19_21,Friday,11.53,96.79,CC
03_19_21,Friday,,33.99,Cash
03_19_21,Friday,,27.58,CC
03_20_21,Saturday,5,64.61,CC
