"","Date","Day_of_the_Week","Subtotal","Order_Total","Tip","Tip_Percentage","Payment_Type"
"1","03_09_21","Tuesday",59.7686,75.02,10,15.3798831128883,"CC"
"2","03_09_21","Tuesday",29.462,37.4,5.32,16.5835411471322,"Acct"
"3","03_09_21","Tuesday",30.2944,37.08,4.19,12.7394344785649,"CC"
"4","03_09_21","Tuesday",95.2229,117.53,14.08,13.6104398260029,"CC"
"5","03_09_21","Tuesday",27.2352,34.64,4.98,16.7902899527984,"CC"
"6","03_09_21","Tuesday",101.6092,125.44,15.05,13.6334812935954,"CC"
"7","03_09_21","Tuesday",20.5035,24.95,2.7,12.1348314606742,"CC"
"8","03_12_21","Friday",38.3664,44.48,3,7.23240115718419,"CC"
"9","03_12_21","Friday",37.6885,49.45,8.3,20.1701093560146,"Acct"
"10","03_12_21","Friday",51.7441,66.37,9.98,17.6981734350062,"CC"
"11","03_12_21","Friday",37.6978,49.46,8.3,20.1652089407191,"Acct"
"12","03_12_21","Friday",53.9473,66.61,8,13.6495478587272,"CC"
"13","03_12_21","Friday",31.1721,39.97,6,17.6626435089785,"CC"
"14","03_12_21","Friday",19.6162,25.34,3.95,18.4665731650304,"Acct"
"15","03_12_21","Friday",22.5586,29.02,4.43,18.0154534363562,"Acct"
"16","03_13_21","Saturday",27.2903,34.71,4.99,16.7900403768506,"CC"
"17","03_13_21","Saturday",28.3353,38.21,7.2,23.2183166720413,"Acct"
"18","03_13_21","Saturday",33.9671,45.47,8.32,22.3956931359354,"Acct"
"19","03_13_21","Saturday",10.6568,15.76,4,34.0136054421769,"Acct"
"20","03_13_21","Saturday",34.6082,44.74,7,18.5479597244303,"CC"
"21","03_13_21","Saturday",49.4449,58.93,5.36,10.0056001493373,"Acct"
"22","03_13_21","Saturday",25.3087,32.59,5,18.1225081551287,"CC"
"23","03_13_21","Saturday",36.1027,48.39,8.9,22.537351228159,"Acct"
"24","03_13_21","Saturday",29.5842,47.94,15,45.5373406193078,"CC"
"25","03_14_21","Sunday",459.754,590.8,89.69,17.8982658498134,"CC"
"26","03_14_21","Sunday",29.54,38,5.8,18.0124223602484,"Acct"
"27","03_14_21","Sunday",25.2429,31.53,4.08,14.8633879781421,"Acct"
"28","03_14_21","Sunday",24.3079,32.03,5.48,20.6403013182674,"Acct"
"29","03_14_21","Sunday",23.964,31.8,5.61,21.4203894616266,"Acct"
"30","03_14_21","Sunday",58.9336,74.52,10.37,16.1652377240842,"Acct"
"31","03_14_21","Sunday",19.5189,23.73,2.55,12.0396600566572,"CC"
"32","03_14_21","Sunday",11.6827,16.39,3.56,27.7474668745129,"Acct"
"33","03_14_21","Sunday",35.1298,44.86,6.59,17.2197543767964,"CC"
